ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç ïƒçëäîéÆÅiÇrÅïÇoÇTÇOÇOÅj,,,,
2020/11/20,12794,12794,,1978.32
2020/11/24,12866,12866,,1992.92
2020/11/25,13063,13063,,2028.59
2020/11/26,13023,13023,,2031.22
2020/11/27,13000,13000,,2032.59
2020/11/30,13000,13000,,2032.58
2020/12/1,12989,12989,,2038.18
2020/12/2,13145,13145,,2071.53
2020/12/3,13188,13188,,2143.39
2020/12/4,13098,13098,,2135.32
2020/12/7,13246,13246,,2162.6
2020/12/8,13222,13222,,2163.5
2020/12/9,13268,13268,,2180.82
2020/12/10,13178,13178,,2170.3
2020/12/11,13128,13128,,2166.08
2020/12/14,13115,13115,,2172.79
2020/12/15,13070,13070,,2171.12
2020/12/16,13189,13189,,2202.24
2020/12/17,13176,13176,,2215.12
2020/12/18,13228,13228,,2228.71
2020/12/21,13210,13210,,2231.42
2020/12/22,13151,13151,,2226.67
2020/12/23,13164,13164,,2238.4
2020/12/24,13172,13172,,2242.27
2020/12/25,13200,13200,,2253.25
2020/12/28,13218,13218,,2261.94
2020/12/29,13359,13359,,2286.05
2020/12/30,13288,13288,,2289.24
2021/1/4,13339,13339,,2301.21
2021/1/5,13152,13152,,2272.22
2021/1/6,13186,13186,,2346.08
2021/1/7,13301,13301,,2373.72
2021/1/8,13613,13613,,2434.5
2021/1/12,13650,13650,,2446.41
2021/1/13,13583,13583,,2438.77
2021/1/14,13650,13650,,2461.51
2021/1/15,13586,13586,,2456.05
2021/1/18,13486,13486,,2443.9
2021/1/19,13475,13475,,2451.88
2021/1/20,13609,13609,,2476.4
2021/1/21,13756,13756,,2525.28
2021/1/22,13751,13751,,2531.93
2021/1/25,13751,13751,,2535.02
2021/1/26,13792,13792,,2549.73
2021/1/27,13759,13759,,2558.35
2021/1/28,13482,13482,,2511.51
2021/1/29,13641,13641,,2547.77
2021/2/1,13407,13407,,2511.58
2021/2/2,13648,13648,,2560.48
2021/2/3,13854,13854,,2674.22
2021/2/4,13870,13870,,2683.68
2021/2/5,14090,14090,,2731.42
2021/2/8,14146,14146,,2744.17
2021/2/9,14202,14202,,2758.75
2021/2/10,14113,14113,,2750.16
2021/2/12,14151,14151,,2763.09
2021/2/15,14269,14269,,2795.78
2021/2/16,14319,14319,,2815.32
2021/2/17,14405,14405,,2832.14
2021/2/18,14344,14344,,2847.14
2021/2/19,14278,14278,,2841.67
2021/2/22,14223,14223,,2838.42
2021/2/24,14119,14119,,2823.83
2021/2/25,14368,14368,,2889
2021/2/26,14043,14043,,2837.73
2021/3/1,14010,14010,,2844.9
2021/3/2,14394,14394,,2930.87
2021/3/3,14266,14266,,2996.85
2021/3/4,14108,14108,,2972.21
2021/3/5,14039,14039,,2963.19
2021/3/8,14375,14375,,3040.45
2021/3/9,14399,14399,,3051.89
2021/3/10,14529,14529,,3094.4
2021/3/11,14610,14610,,3116.66
2021/3/12,14775,14775,,3161.1
2021/3/15,14855,14855,,3188.58
2021/3/16,14978,14978,,3226.58
2021/3/17,14939,14939,,3239.34
2021/3/18,14959,14959,,3246.29
2021/3/19,14757,14757,,3217.51
2021/3/22,14722,14722,,3222.94
2021/3/23,14819,14819,,3253.56
2021/3/24,14677,14677,,3242.51
2021/3/25,14630,14630,,3240.16
2021/3/26,14765,14765,,3277.54
2021/3/29,15054,15054,,3351.3
2021/3/30,15072,15072,,3365.22
2021/3/31,15142,15142,,3397.71
2021/4/1,15217,15217,,3420.53
2021/4/2,15371,15371,,3464.65
2021/4/5,15368,15368,,3567.75
2021/4/6,15542,15542,,3608.26
2021/4/7,15461,15461,,3622.76
2021/4/8,15486,15486,,3643.13
2021/4/9,15481,15481,,3656.89
2021/4/12,15663,15663,,3713.5
2021/4/13,15636,15636,,3717.78
2021/4/14,15583,15583,,3729.13
2021/4/15,15529,15529,,3728.63
2021/4/16,15675,15675,,3785.15
2021/4/19,15722,15722,,3815.33
2021/4/20,15573,15573,,3792.38
2021/4/21,15449,15449,,3786.93
2021/4/22,15589,15589,,3836.5
2021/4/23,15431,15431,,3808.05
2021/4/26,15592,15592,0,3859.03
2021/4/27,15659,15659,,3882.1
2021/4/28,15767,15767,,3928.87
2021/4/30,15861,15861,,3960.21
2021/5/6,15754,15754,,3945.19
2021/5/7,15859,15859,,3991.17
2021/5/10,15922,15922,,4153.45
2021/5/11,15789,15789,,4132.72
2021/5/12,15625,15625,,4122.4
2021/5/13,15408,15408,,4078.6
2021/5/14,15598,15598,,4138.87
2021/5/17,15805,15805,,4202.29
2021/5/18,15732,15732,,4196.43
2021/5/19,15569,15569,,4180.96
2021/5/20,15560,15560,,4187.08
2021/5/21,15675,15675,,4235.24
2021/5/24,15675,15675,,4244.26
2021/5/25,15813,15813,,4291.11
2021/5/26,15765,15765,,4292.93
2021/5/27,15854,15854,,4331.4
2021/5/28,15992,15992,,4377.56
2021/5/31,15975,15975,,4384.58
2021/6/1,15924,15924,,4379.3
2021/6/2,15951,15951,,4386.82
2021/6/3,15967,15967,,4537.5
2021/6/4,16011,16011,,4559.28
2021/6/7,16049,16049,,4575.9
2021/6/8,16018,16018,,4576.78
2021/6/9,16023,16023,,4599.45
2021/6/10,16022,16022,,4611.96
2021/6/11,16069,16069,,4636.36
2021/6/14,16152,16152,,4674.7
2021/6/15,16230,16230,,4707.32
2021/6/16,16204,16204,,4731.24
2021/6/17,16209,16209,,4752.2
2021/6/18,16135,16135,,4741.29
2021/6/21,15912,15912,,4688.5
2021/6/22,16140,16140,,4767.84
2021/6/23,16291,16291,,4826.59
2021/6/24,16320,16320,,4847.18
2021/6/25,16406,16406,,4881.75
2021/6/28,16416,16416,,4894.02
2021/6/29,16429,16429,,4911.68
2021/6/30,16444,16444,,4943.07
2021/7/1,16540,16540,,4982.54
2021/7/2,16714,16714,,5048.96
2021/7/5,16766,16766,,5217.69
2021/7/6,16722,16722,,5219.85
2021/7/7,16627,16627,,5190.17
2021/7/8,16701,16701,,5260.25
2021/7/9,16462,16462,,5202.57
2021/7/12,16686,16686,,5286.15
2021/7/13,16778,16778,,5324.58
2021/7/14,16760,16760,,5350.4
2021/7/15,16669,16669,,5333.5
2021/7/16,16612,16612,,5325.88
2021/7/19,16482,16482,,5310.24
2021/7/20,16175,16175,,5221.85
2021/7/21,16482,16482,,5332.45
2021/7/26,16908,16908,,5483.1
2021/7/27,16903,16903,,5495.03
2021/7/28,16764,16764,,5473.37
2021/7/29,16741,16741,,5469.47
2021/7/30,16777,16777,,5490.6
2021/8/2,16712,16712,,5478.03
2021/8/3,16632,16632,,5458.72
2021/8/4,16728,16728,,5648.74
2021/8/5,16741,16741,,5661.23
2021/8/6,16878,16878,,5713.54
2021/8/10,16966,16966,,5751.38
2021/8/11,17033,17033,,5780.37
2021/8/12,17026,17026,,5806.8
2021/8/13,17095,17095,,5839.77
2021/8/16,16975,16975,,5809.25
2021/8/17,16977,16977,,5832.2
2021/8/18,16907,16907,,5835.03
2021/8/19,16795,16795,,5809.88
2021/8/20,16802,16802,,5825.41
2021/8/23,16933,16933,,5885.19
2021/8/24,17067,17067,,5944.6
2021/8/25,17106,17106,,5973.39
2021/8/26,17177,17177,,6008
2021/8/27,17067,17067,,5978.11
2021/8/30,17177,17177,,6024.17
2021/8/31,17277,17277,,6068.48
2021/9/1,17301,17301,,6096.87
2021/9/2,17277,17277,,6100.74
2021/9/3,17319,17319,,6278.46
2021/9/6,17297,17297,,6281.22
2021/9/7,17289,17289,,6291.52
2021/9/8,17307,17307,,6298.22
2021/9/9,17278,17278,,6327.08
2021/9/10,17130,17130,,6299.84
2021/9/13,17029,17029,,6276.38
2021/9/14,17079,17079,,6315.13
2021/9/15,16923,16923,,6279.47
2021/9/16,17029,17029,,6348.09
2021/9/17,17065,17065,,6379.96
2021/9/21,16585,16585,,6213.27
2021/9/22,16519,16519,,6198.43
2021/9/24,17063,17063,,6417.32
2021/9/27,17141,17141,,6459.33
2021/9/28,17138,17138,,6488.05
2021/9/29,16882,16882,,6406.25
2021/9/30,16951,16951,,6441.88
2021/10/1,16677,16677,,6348.96
2021/10/4,16802,16802,,6408.75
2021/10/5,16572,16572,,6488.05
2021/10/6,16857,16857,,6611.27
2021/10/7,16891,16891,,6625.91
2021/10/8,17085,17085,,6711.51
2021/10/11,17140,17140,,6736.64
2021/10/12,17204,17204,,6796.8
2021/10/13,17161,17161,,6795.07
2021/10/14,17198,17198,,6816.59
2021/10/15,17570,17570,,6972.93
2021/10/18,17760,17760,,7068.02
2021/10/19,17808,17808,,7105.62
2021/10/20,18016,18016,,7219.35
2021/10/21,18019,18019,,7229.52
2021/10/22,18035,18035,,7257.33
2021/10/25,17966,17966,,7239.65
2021/10/26,18069,18069,,7292.25
2021/10/27,18148,18148,,7354.48
2021/10/28,18017,18017,,7317.42
2021/10/29,18163,18163,,7394.01
2021/11/1,18267,18267,,7458.05
2021/11/2,18303,18303,,7488.72
2021/11/4,18494,18494,,7764.87
2021/11/5,18515,18515,,7792.9
2021/11/8,18559,18559,,7853.21
2021/11/9,18518,18518,,7867.41
2021/11/10,18388,18388,,7894.26
2021/11/11,18418,18418,,7930.45
2021/11/12,18475,18475,,7981.95
2021/11/15,18569,18569,,8042.15
2021/11/16,18604,18604,,8075.42
2021/11/17,18785,18785,,8213.64
2021/11/18,18626,18626,,8166.98
2021/11/19,18720,18720,,8234.32
2021/11/22,18652,18652,,8228.52
2021/11/24,18806,18806,,8321.09
2021/11/25,18869,18869,,8389.9
2021/11/26,18804,18804,,8392.15
2021/11/29,18192,18192,,8119.17
2021/11/30,18432,18432,,8265.24
2021/12/1,18005,18005,,8107.93
2021/12/2,17749,17749,,8029.87
2021/12/3,18022,18022,,8358.99
2021/12/6,17867,17867,,8313.85
2021/12/7,18144,18144,,8470.4
2021/12/8,18531,18531,,8694.01
2021/12/9,18629,18629,,8773.47
2021/12/10,18441,18441,,8750.36
2021/12/13,18632,18632,,8856.23
2021/12/14,18482,18482,,8810.7
2021/12/15,18366,18366,,8789.54
2021/12/16,18733,18733,,8984.94
2021/12/17,18515,18515,,8928.5
2021/12/20,18285,18285,,8844.47
2021/12/21,18085,18085,,8766.97
2021/12/22,18490,18490,,9003.4
2021/12/23,18688,18688,,9127.55
2021/12/24,18849,18849,,9230.12
2021/12/27,18836,18836,,9240.19
2021/12/28,19185,19185,,9411.81
2021/12/29,19156,19156,,9446.45
2021/12/30,19204,19204,,9487.59
2022/1/4,19291,19291,,9539.61
2022/1/5,19408,19408,,9613.72
2022/1/6,19007,19007,,9619.63
2022/1/7,18978,18978,,9636.18
2022/1/11,18773,18773,,9545.31
2022/1/12,18944,18944,,9665.68
2022/1/13,18885,18885,,9722.94
2022/1/14,18530,18530,,9567.71
2022/1/17,18583,18583,,9615.41
2022/1/18,18618,18618,,9657.17
2022/1/19,18302,18302,,9493.07
2022/1/20,18060,18060,,9441.02
2022/1/21,17789,17789,,9307.7
2022/1/24,17456,17456,,9147.74
2022/1/25,17527,17527,,9182.48
2022/1/26,17288,17288,,9057.99
2022/1/27,17383,17383,,9115.05
2022/1/28,17415,17415,,9146.18
2022/1/31,17837,17837,,9376.31
2022/2/1,18130,18130,,9543.05
2022/2/2,18183,18183,,9602.9
2022/2/3,18315,18315,,9865.38
2022/2/4,17955,17955,,9698.19
2022/2/7,18089,18089,,9786.07
2022/2/8,18028,18028,,9766.04
2022/2/9,18220,18220,,9887.06
2022/2/10,18495,18495,,10096.95
2022/2/14,17790,17790,,9720.5
2022/2/15,17721,17721,,9701.71
2022/2/16,18046,18046,,9893.81
2022/2/17,18030,18030,,9924.27
2022/2/18,17569,17569,,9682.08
2022/2/21,17462,17462,,9634.44
2022/2/22,17421,17421,,9624.36
2022/2/24,16951,16951,,9364.67
2022/2/25,17299,17299,,9588.09
2022/2/28,17684,17684,,9805.26
2022/3/1,17601,17601,,9791.7
2022/3/2,17289,17289,,9667.95
2022/3/3,17706,17706,,10100.2
2022/3/4,17583,17583,,10051.32
2022/3/7,17384,17384,,9955.43
2022/3/8,16940,16940,,9712.94
2022/3/9,16876,16876,,9692.45
2022/3/10,17330,17330,,10025.47
2022/3/11,17304,17304,,10019.36
2022/3/14,17269,17269,,10019.8
2022/3/15,17238,17238,,10015.46
2022/3/16,17629,17629,,10259.36
2022/3/17,18114,18114,,10564.39
2022/3/18,18292,18292,,10682.23
2022/3/22,18708,18708,,10972.49
2022/3/23,19097,19097,,11220.9
2022/3/24,18849,18849,,11107.09
2022/3/25,19279,19279,,11368.95
2022/3/28,19404,19404,,11451.35
2022/3/29,19859,19859,,11735.8
2022/3/30,19821,19821,,11730.71
2022/3/31,19683,19683,,11650.62
2022/4/1,19347,19347,,11447.7
2022/4/4,19447,19447,,11513.61
2022/4/5,19627,19627,,11790.78
2022/4/6,19616,19616,,11799.29
2022/4/7,19367,19367,,11661.49
2022/4/8,19472,19472,,11730.54
2022/4/11,19552,19552,,11783.72
2022/4/12,19366,19366,,11751.6
2022/4/13,19309,19309,,11730.48
2022/4/14,19522,19522,,11866.32
2022/4/15,19406,19406,,11804.71
2022/4/18,19454,19454,,11862.61
2022/4/19,19554,19554,,11923.91
2022/4/20,20191,20191,,12342.98
2022/4/21,19999,19999,,12233.12
2022/4/22,19762,19762,,12100.8
2022/4/25,19239,19239,0,11782
2022/4/26,19167,19167,,11745.8
2022/4/27,18636,18636,,11452.42
2022/4/28,18851,18851,,11600.12
2022/5/2,18798,18798,,11584.49
2022/5/6,18929,18929,,11688.53
2022/5/9,18861,18861,,11849.78
2022/5/10,18154,18154,,11442.76
2022/5/11,18239,18239,,11598.48
2022/5/12,17864,17864,,11384.26
2022/5/13,17727,17727,,11321.65
2022/5/16,18256,18256,,11679.63
2022/5/17,18135,18135,,11621.5
2022/5/18,18506,18506,,11907.7
2022/5/19,17640,17640,,11365.37
2022/5/20,17459,17459,,11264.24
2022/5/23,17452,17452,,11297.62
2022/5/24,17790,17790,,11546.72
2022/5/25,17524,17524,,11397.78
2022/5/26,17763,17763,,11575.24
2022/5/27,18048,18048,,11777.26
2022/5/30,18496,18496,,12081.72
2022/5/31,18669,18669,,12208.56
2022/6/1,18658,18658,,12201.22
2022/6/2,18682,18682,,12248.64
2022/6/3,18995,18995,,12641.05
2022/6/6,18831,18831,,12540.1
2022/6/7,19092,19092,,12718.33
2022/6/8,19358,19358,,12901.28
2022/6/9,19387,19387,,12926.62
2022/6/10,18895,18895,,12684.23
2022/6/13,18452,18452,,12384.95
2022/6/14,17623,17623,,11843.59
2022/6/15,17677,17677,,11898.73
2022/6/16,17842,17842,,12046.43
2022/6/17,17125,17125,,11600.68
2022/6/20,17423,17423,,11828.45
2022/6/21,17417,17417,,11842.83
2022/6/22,18014,18014,,12248.1
2022/6/23,17952,17952,,12251.2
2022/6/24,17994,17994,,12291.2
2022/6/27,18460,18460,,12616.19
2022/6/28,18524,18524,,12674.96
2022/6/29,18240,18240,,12499.67
2022/6/30,18301,18301,,12547.79
2022/7/1,18052,18052,,12378.88
2022/7/4,18107,18107,,12423.55
2022/7/5,18263,18263,,12713.11
2022/7/6,18234,18234,,12692.85
2022/7/7,18325,18325,,12773.3
2022/7/8,18625,18625,,12986.74
2022/7/11,18667,18667,,13024.69
2022/7/12,18556,18556,,13048.31
2022/7/13,18356,18356,,12920.09
2022/7/14,18404,18404,,12962.85
2022/7/15,18476,18476,,13022.57
2022/7/19,18580,18580,,13125.17
2022/7/20,19083,19083,,13497.86
2022/7/21,19243,19243,,13624.87
2022/7/22,19270,19270,,13654
2022/7/25,18992,18992,,13448.88
2022/7/26,18994,18994,,13446.31
2022/7/27,18850,18850,,13363.5
2022/7/28,19242,19242,,13650.99
2022/7/29,19236,19236,,13654.7
2022/8/1,19265,19265,,13685.46
2022/8/2,18917,18917,,13437.63
2022/8/3,19202,19202,,13834.13
2022/8/4,19491,19491,,14053.58
2022/8/5,19384,19384,,13983.97
2022/8/8,19692,19692,,14205.47
2022/8/9,19603,19603,,14146.36
2022/8/10,19572,19572,,14229.06
2022/8/12,19690,19690,,14309.21
2022/8/15,19985,19985,,14538.76
2022/8/16,20097,20097,,14635.84
2022/8/17,20306,20306,,14840.98
2022/8/18,20252,20252,,14802.15
2022/8/19,20512,20512,,14996.3
2022/8/22,20376,20376,,14895.98
2022/8/23,19961,19961,,14599.24
2022/8/24,19862,19862,,14533.3
2022/8/25,19927,19927,,14584.65
2022/8/26,20175,20175,,14784.17
2022/8/29,19722,19722,,14472.63
2022/8/30,19623,19623,,14413.48
2022/8/31,19417,19417,,14282.11
2022/9/1,19394,19394,,14275.53
2022/9/2,19533,19533,,14389.34
2022/9/5,19360,19360,,14453.02
2022/9/6,19349,19349,,14460.5
2022/9/7,19663,19663,,14694.64
2022/9/8,20214,20214,,15131.17
2022/9/9,20255,20255,,15173.48
2022/9/12,20424,20424,,15408.12
2022/9/13,20600,20600,,15540.87
2022/9/14,19979,19979,,15091.74
2022/9/15,19892,19892,,15027.09
2022/9/16,19637,19637,,14867.78
2022/9/20,19653,19653,,14911.63
2022/9/21,19493,19493,,14803.63
2022/9/22,19264,19264,,14660.74
2022/9/26,18710,18710,,14248.49
2022/9/27,18580,18580,,14165.6
2022/9/28,18570,18570,,14197.71
2022/9/29,18885,18885,,14461.18
2022/9/30,18548,18548,,14226.8
2022/10/3,18280,18280,,14045.03
2022/10/4,18731,18731,,14425.93
2022/10/5,19202,19202,,15023.89
2022/10/6,19259,19259,,15119.13
2022/10/7,19100,19100,,15030.46
2022/10/11,18535,18535,,14603.87
2022/10/12,18468,18468,,14566.78
2022/10/13,18501,18501,,14723.43
2022/10/14,19046,19046,,15176.62
2022/10/17,18746,18746,,14958.75
2022/10/18,19277,19277,,15425.22
2022/10/19,19542,19542,,15672.74
2022/10/20,19511,19511,,15661.95
2022/10/21,19393,19393,,15576.26
2022/10/24,19691,19691,,15831.86
2022/10/25,19926,19926,,16031.16
2022/10/26,20140,20140,,16239.54
2022/10/27,19702,19702,,15902.17
2022/10/28,19661,19661,,15877.32
2022/10/31,20365,20365,,16449.03
2022/11/1,20283,20283,,16395.05
2022/11/2,20044,20044,,16213.81
2022/11/4,19433,19433,,15910.68
2022/11/7,19529,19529,,16005.69
2022/11/8,19651,19651,,16124.15
2022/11/9,19660,19660,,16164.64
2022/11/10,19335,19335,,16016.21
2022/11/11,19775,19775,,16389.6
2022/11/14,19638,19638,,16298.53
2022/11/15,19580,19580,,16269.23
2022/11/16,19633,19633,,16333.61
2022/11/17,19468,19468,,16249.69
2022/11/18,19519,19519,,16301.77
2022/11/21,19622,19622,,16400.85
2022/11/22,19790,19790,,16552.41
2022/11/24,19775,19775,,16564.48
2022/11/25,19753,19753,,16557.84
2022/11/28,19747,19747,,16552.1
2022/11/29,19415,19415,,16309.27
2022/11/30,19380,19380,,16301.54
2022/12/1,19728,19728,,16601.25
2022/12/2,19500,19500,,16418.82
2022/12/5,19353,19353,,16518.03
2022/12/6,19264,19264,,16459.42
2022/12/7,19093,19093,,16337.25
2022/12/8,18955,18955,,16231.81
2022/12/9,19153,19153,,16418.9
2022/12/12,18986,18986,,16403.59
2022/12/13,19409,19409,,16785.77
2022/12/14,19219,19219,,16671.8
2022/12/15,19104,19104,,16591.03
2022/12/16,18938,18938,,16457.86
2022/12/19,18522,18522,,16156.39
2022/12/20,18129,18129,,15831.67
2022/12/21,17777,17777,,15550.48
2022/12/22,18113,18113,,15881.21
2022/12/23,17915,17915,,15738.64
2022/12/26,17961,17961,,15809.71
2022/12/27,18084,18084,,15939.25
2022/12/28,18107,18107,,15959.38
2022/12/29,17919,17919,,15858.94
2022/12/30,18035,18035,,15980.17
2023/1/4,17690,17690,,15687.52
2023/1/5,17981,17981,,15954.61
2023/1/6,17987,17987,,16162.26
2023/1/10,18127,18127,,16337.5
2023/1/11,18330,18330,,16533.07
2023/1/12,18508,18508,,16831.62
2023/1/13,18192,18192,,16556.89
2023/1/16,18072,18072,,16459.47
2023/1/17,18149,18149,,16538.74
2023/1/18,18477,18477,,16837.88
2023/1/19,17835,17835,,16325.65
2023/1/20,17731,17731,,16238.27
2023/1/23,18149,18149,,16626.9
2023/1/24,18524,18524,,16993.75
2023/1/25,18508,18508,,16999.38
2023/1/26,18344,18344,,16866.76
2023/1/27,18593,18593,,17107.32
2023/1/30,18714,18714,,17224.89
2023/1/31,18524,18524,,17058.08
2023/2/1,18714,18714,,17246.23
2023/2/2,18706,18706,,17246.37
2023/2/3,19018,19018,,17735.59
2023/2/6,19357,19357,,18065.22
2023/2/7,19266,19266,,17984.68
2023/2/8,19271,19271,,17997.23
2023/2/9,19161,19161,,17893.38
2023/2/10,19004,19004,,17844.2
2023/2/13,19059,19059,,17899.48
2023/2/14,19359,19359,,18197.71
2023/2/15,19424,19424,,18270.76
2023/2/16,19682,19682,,18544.81
2023/2/17,19448,19448,,18337.48
2023/2/20,19404,19404,,18296.61
2023/2/21,19386,19386,,18274.78
2023/2/22,19079,19079,,17985.8
